Date,Close,High,Low,Open,Volume
2018-02-26,3329.57,3335.99,3281.61,3307.29,188600
2018-02-27,3292.07,3328.67,3284.63,3328.67,174200
2018-02-28,3259.41,3277.83,3239.84,3264.06,151000
2018-03-01,3273.75,3280.15,3228.58,3235.09,159100
2018-03-02,3254.53,3269.94,3242.27,3248.45,150900
2018-03-05,3256.93,3269.4,3236.72,3255.87,144800
2018-03-06,3289.64,3290.25,3243.65,3266.49,195400
2018-03-07,3271.67,3308.41,3264.76,3288.86,168700
2018-03-08,3288.41,3289.5,3261.55,3268.35,149800
2018-03-09,3307.17,3309.72,3283.56,3291.43,168400
2018-03-12,3326.7,3333.56,3313.55,3319.21,206500
2018-03-13,3310.24,3333.88,3307.38,3324.12,177100
2018-03-14,3291.38,3304.98,3287.36,3298.67,157500
2018-03-15,3291.11,3297.1,3273.2,3277.51,148600
2018-03-16,3269.88,3300.56,3269.28,3290.21,141200
2018-03-19,3279.25,3280.57,3251.05,3264.93,138000
2018-03-20,3290.64,3292.57,3252.43,3257.22,139900
2018-03-21,3280.95,3314.21,3268.88,3299.73,168400
2018-03-22,3263.48,3288.8,3242.76,3281.26,150400
2018-03-23,3152.76,3188.24,3110.66,3172.77,275500
2018-03-26,3133.72,3134.28,3091.46,3117.32,186400
2018-03-27,3166.65,3172.78,3143.57,3164.8,189100
2018-03-28,3122.29,3165.21,3117.53,3130.57,163500
2018-03-29,3160.53,3174.51,3098.25,3127.26,170300
2018-03-30,3168.9,3177.72,3152.89,3161.79,154600
2018-04-02,3163.18,3192.34,3159.99,3169.78,177700
2018-04-03,3136.63,3144.33,3119.13,3130.01,152200
2018-04-04,3131.11,3163.34,3128.87,3147.05,147000
2018-04-09,3138.29,3146.09,3110.3,3125.44,139600
2018-04-10,3190.32,3190.65,3139.08,3144.26,168200
2018-04-11,3208.08,3220.84,3191.59,3197.37,175900
2018-04-12,3180.16,3205.25,3177.05,3203.28,148200
2018-04-13,3159.05,3197.9,3155.51,3192.04,127600
2018-04-16,3110.65,3153.11,3096.1,3152.89,154400
2018-04-17,3066.8,3118.76,3064.03,3112.98,147200
2018-04-18,3091.4,3096.89,3041.62,3091.91,159300
2018-04-19,3117.38,3127.44,3090.29,3094.27,160100
